while While
( OpenParen
a Identifier
+ BinaryOperator
b Identifier
< LessThan
c Identifier
) CloseParen
{ OpenBrace
if If
( OpenParen
1 NumberLiteral
) CloseParen
{ OpenBrace
if If
( OpenParen
1 NumberLiteral
) CloseParen
{ OpenBrace
print Identifier
( OpenParen
c Identifier
) CloseParen
} CloseBrace
let Let
a Identifier
= Equals
10 NumberLiteral
; Semicolon
} CloseBrace
let Let
a Identifier
= Equals
10 NumberLiteral
; Semicolon
print Identifier
( OpenParen
a Identifier
) CloseParen
print Identifier
( OpenParen
b Identifier
) CloseParen
} CloseBrace
new_line Identifier
= Equals
10 NumberLiteral
; Semicolon
EndOfFile EOFToken
